AbbVie Inc.,ABBV,6.28,7832565
Aegon NV,AEG,6.71,1615685.75
AGNC Investment Corp.,AGNC,12.21,7021753
Ashford Hospitality Trust Inc,AHT,7.34,1167959.38
Antero Midstrm,AM,17.06,6155883.5
"AMC Entertainment Holdings, Inc.",AMC,6.87,1937167.38
"Apple Hospitality REIT, Inc.",APLE,7.27,1128846.63
"Apollo Global Management, LLC",APO,5.03,3077173.5
Ares Capital Corporation,ARCC,8.39,1467140.63
BBVA Banco Frances S.A.,BBAR,5.89,1416108.25
Bed Bath & Beyond Inc.,BBBY,6.35,6980823
BHP Billiton PLC,BBL,7.08,1317654.75
Banco Bilbao Viscaya Argentaria S.A.,BBVA,5.57,3501434
Brandywine Realty Trust,BDN,5.08,1127239.5
"BGC Partners, Inc.",BGCP,9.98,1439089.25
Briggs & Stratton Corporation,BGG,9.06,1319576.25
BHP Group Limited,BHP,6.2,1966442.25
Macro Bank Inc.,BMA,17.43,1053014.63
BP p.l.c.,BP,6.45,5810819.5
Buckeye Partners L.P.,BPL,7.29,1386533.25
Brixmor Property Group Inc.,BRX,5.68,2788202
BT Group PLC,BT,12.47,2102453.75
British American Tobacco p.l.c.,BTI,6.64,1379047.5
"CBL & Associates Properties, Inc.",CBL,27.34,1920992.25
The Chemours Company,CC,6.09,3727940
"Chico's FAS, Inc.",CHS,8.75,3248865.5
Chimera Investment Corporation,CIM,10.23,1261995.75
"COLONY CAPITAL, INC.",CLNY,8.21,2895289
"CenturyLink, Inc.",CTL,7.94,10469506
DSW Inc.,DBI,5.87,1643541.75
Physicians Realty Trust,DOC,5.36,1457612.75
Dow Inc.,DOW,6.04,4124184.75
iShares J.P. Morgan USD Emerging Markets Bond ETF,EMB,5.43,3834802
Enbridge Inc,ENB,6.38,3363923.5
"EnLink Midstream, LLC",ENLC,13.79,2868619.5
Enterprise Products Partners L.P.,EPD,6.13,2927756.5
Energy Transfer LP,ET,8.75,8574823
Equitrans Midstream Corporation,ETRN,13.46,3073196.5
iShares MSCI Australia ETF,EWA,5.33,2565245
Ford Motor Company,F,6.37,31487964
FS Investment Corporation,FSK,12.8,1748617.63
"Gannett Co., Inc.",GCI,5.89,1710443.25
"The Gap, Inc.",GPS,5.28,9054166
"Helmerich & Payne, Inc.",HP,6.74,1499673.88
HSBC Holdings plc,HSBC,5.25,3570676.5
iShares iBoxx $ High Yield Corporate Bond ETF,HYG,5.27,18059000
International Game Technology,IGT,5.76,2162904.25
Iron Mountain Incorporated,IRM,7.29,1830269.25
INVESCO MORTGAGE CAPITAL INC,IVR,11.8,2479475.5
Invesco Ltd.,IVZ,7.28,4879308.5
"Just Energy Group, Inc.",JE,28.91,1644256.75
"Janus Capital Group, Inc",JHG,6.79,1064330.25
SPDR Bloomberg Barclays High Yield Bond ETF,JNK,5.58,6214263
"KAR Auction Services, Inc",KAR,5.17,1995865.75
The Kraft Heinz Company,KHC,5.52,7514370.5
Kimco Realty Corporation,KIM,5.57,3735047.5
Kohl's Corporation,KSS,5.24,5029455
Las Vegas Sands Corp.,LVS,5.22,3574098
"Macy's, Inc.",M,8.83,17134320
Macerich Company (The),MAC,8.91,2141340.5
Mobile TeleSystems OJSC,MBT,12.41,2686962.75
"MFA Financial, Inc.",MFA,10.81,2046765.25
"Altria Group, Inc.",MO,7.23,11886700
MPLX LP,MPLX,9.28,2149654.5
"Medical Properties Trust, Inc.",MPW,5.3,3332932
New Media Investment Group Inc.,NEWM,16.52,1612305
Nielsen Holdings Plc,NLSN,6.25,2657277.25
Annaly Capital Management Inc,NLY,14,16231318
New Residential Investment Corp.,NRZ,13.28,3376466.5
Newell Brands Inc.,NWL,5.02,4232165
"New York Community Bancorp, Inc.",NYCB,5.31,4114510
"New York Mortgage Trust, Inc.",NYMT,12.74,1785794.63
"Office Depot, Inc.",ODP,5.95,6300419.5
"Omega Healthcare Investors, Inc.",OHI,6.57,1877067.25
Occidental Petroleum Corporation,OXY,6.81,8422083
"Plains All American Pipeline, L.P.",PAA,6.75,2008205.38
"Plains Group Holdings, L.P.",PAGP,6.5,1388071
"Patterson Companies, Inc.",PDCO,5.79,1212842.63
Pennsylvania Real Estate Investment Trust,PEI,14.58,1961738
iShares Preferred and Income Securities ETF,PFF,5.6,3376230
Invesco Preferred ETF,PGX,5.43,1860621.25
Park Hotels & Resorts Inc.,PK,7.12,1713869.63
Philip Morris International Inc.,PM,6.12,8091030.5
PPL Corporation,PPL,5.5,3577817.5
Prospect Capital Corporation,PSEC,10.76,1966072
Rio Tinto PLC,RIO,5.71,1949873.25
Realogy Holdings Corp.,RLGY,6.03,3033921.5
RLJ Lodging Trust,RLJ,7.69,1152258.5
"Retail Properties of America, Inc.",RPAI,5.48,1241541.13
"Redwood Trust, Inc.",RWT,7.06,1702203.38
Rayonier Advanced Materials Inc.,RYAM,6.59,1003094.38
"Banco Santander, S.A.",SAN,5.05,16559557
"Sabra Healthcare REIT, Inc.",SBRA,8.28,1469411.38
SemGroup Corporation,SEMG,19.67,1150985.75
Signet Jewelers Limited,SIG,8.78,4074712
"Tanger Factory Outlet Centers, Inc.",SKT,8.35,2465761.5
Schlumberger Limited,SLB,5.34,11425570
Senior Housing Properties Trust,SNH,6.73,1273545.25
"Simon Property Group, Inc.",SPG,5.21,1516620.75
"Extended Stay America, Inc.",STAY,6.15,2250047.5
"STARWOOD PROPERTY TRUST, INC.",STWD,7.95,1325214
"Tallgrass Energy GP, LP",TGE,10.91,3326273
"Tailored Brands, Inc.",TLRD,10.62,3745292.75
"Tapestry, Inc.",TPR,5.36,8050989
"Targa Resources, Inc.",TRGP,9.3,2515188.75
Two Harbors Investments Corp,TWO,12.02,1881435
VimpelCom Ltd.,VEON,8.47,4656221
VEREIT Inc.,VER,5.86,8836746
Vector Group Ltd.,VGR,12.35,1210768.63
VICI Properties Inc.,VICI,5.28,3117609.5
"Western Gas Equity Partners, LP",WES,9.98,1134748.13
"Williams Companies, Inc. (The)",WMB,6.12,7271652
Washington Prime Group Inc.,WPG,24.1,3615788.5
